depth_m,Temp_degC
21.958,12.601
21.974,12.5942
22,12.5868
22.034,12.5797
22.071,12.5699
22.108,12.5564
22.138,12.5454
22.17,12.5303
22.191,12.5067
22.216,12.4765
22.243,12.4522
22.271,12.4364
22.301,12.4241
22.331,12.4142
22.365,12.4076
22.395,12.3977
22.416,12.3842
22.438,12.368
22.462,12.3517
22.499,12.3421
22.534,12.3334
22.566,12.3261
22.596,12.3186
22.635,12.3109
22.673,12.3022
22.705,12.2921
22.733,12.284
22.755,12.2791
22.781,12.2758
22.818,12.2728
22.859,12.2684
22.893,12.2649
22.918,12.26
22.943,12.2533
22.971,12.2472
23.003,12.242
23.036,12.2354
23.072,12.2284
23.107,12.2229
23.141,12.2155
23.173,12.2049
23.207,12.1923
23.246,12.1813
23.285,12.1734
23.318,12.1662
23.345,12.1587
23.372,12.153
23.394,12.1441
23.414,12.1303
23.438,12.1134
23.477,12.0938
23.515,12.0714
23.556,12.0483
23.592,12.0255
23.622,12.0052
23.658,11.9836
23.686,11.9657
23.715,11.9509
23.74,11.9415
23.768,11.9352
23.794,11.9309
23.823,11.9288
23.857,11.926
23.888,11.9168
23.908,11.9037
23.919,11.8937
23.936,11.8866
23.966,11.8821
24.007,11.8765
24.054,11.8681
24.102,11.8611
24.145,11.8504
24.178,11.8367
24.205,11.821
24.23,11.8086
24.263,11.7999
24.298,11.7908
24.33,11.782
24.36,11.7754
24.397,11.7725
24.437,11.7698
24.474,11.7651
24.505,11.7605
24.533,11.7573
24.551,11.7554
24.575,11.7544
24.597,11.7534
24.617,11.7525
24.636,11.751
24.666,11.7483
24.702,11.747
24.75,11.7455
24.795,11.7414
24.837,11.7339
24.865,11.721
24.889,11.7018
24.914,11.6829
24.943,11.6676
24.972,11.6546
25.001,11.6434
25.029,11.6337
25.059,11.6284
25.091,11.6221
25.128,11.6143
25.161,11.6071
25.195,11.5964
25.228,11.586
25.268,11.575
25.301,11.557
25.334,11.5356
25.367,11.5131
25.401,11.4944
25.427,11.4757
25.45,11.4636
25.476,11.454
25.502,11.4419
25.534,11.4302
25.572,11.4201
25.61,11.4117
25.644,11.3987
25.679,11.3834
25.716,11.3708
25.745,11.3567
25.768,11.341
25.785,11.3259
25.801,11.3153
25.822,11.3026
25.846,11.2898
25.879,11.2801
25.907,11.2724
25.924,11.2649
25.943,11.2579
25.967,11.2535
26.003,11.2484
26.045,11.2441
26.085,11.2412
26.123,11.2373
26.161,11.2326
26.202,11.2279
26.241,11.2236
26.273,11.2202
26.297,11.2166
26.317,11.2129
26.338,11.2105
26.363,11.2065
26.393,11.2
26.441,11.1948
26.499,11.1894
26.56,11.1843
26.609,11.179
26.637,11.1708
26.656,11.1594
26.682,11.1507
26.708,11.1446
26.727,11.1357
26.751,11.1278
26.777,11.1243
26.81,11.1184
26.844,11.1119
26.882,11.1086
26.916,11.0999
26.953,11.0873
26.994,11.0755
27.035,11.0583
27.074,11.0364
27.109,11.0137
27.141,10.9949
27.178,10.9814
27.202,10.9723
27.22,10.9644
27.246,10.9576
27.291,10.9529
27.347,10.9494
27.398,10.9426
27.434,10.9254
27.455,10.9032
27.473,10.8828
27.499,10.8664
27.531,10.8551
27.567,10.8489
27.598,10.8446
27.624,10.8419
27.646,10.8361
27.679,10.8304
27.728,10.8234
27.782,10.8137
27.838,10.8017
27.882,10.7867
27.912,10.7646
27.932,10.7428
27.956,10.7271
27.983,10.7166
28.013,10.7102
28.037,10.7058
28.079,10.706
28.136,10.703
28.203,10.6902
28.256,10.6748
28.292,10.6566
28.324,10.631
28.352,10.6048
28.385,10.5826
28.424,10.5656
28.478,10.5584
28.529,10.5548
28.569,10.5429
28.592,10.5288
28.616,10.5185
28.646,10.5126
28.684,10.5082
28.729,10.5052
28.771,10.5041
28.815,10.5006
28.854,10.4929
28.885,10.4826
28.913,10.4708
28.93,10.4556
28.946,10.4424
28.963,10.4312
28.989,10.4212
29.017,10.4127
29.051,10.3976
29.088,10.3772
29.128,10.357
29.153,10.3262
29.171,10.284
29.188,10.2476
29.217,10.2234
29.246,10.2072
29.278,10.1968
29.315,10.1921
29.366,10.1902
29.414,10.1853
29.446,10.1802
29.473,10.1711
29.491,10.1609
29.511,10.1536
29.537,10.1486
29.57,10.1441
29.618,10.1401
29.672,10.1379
29.717,10.1296
29.742,10.1131
29.758,10.1005
29.773,10.0919
29.794,10.0865
29.818,10.0821
29.842,10.0775
29.862,10.0735
29.879,10.0713
29.901,10.0714
29.928,10.0716
29.958,10.0703
29.987,10.0647
30.017,10.0564
30.047,10.0464
30.072,10.0327
30.093,10.0195
30.112,10.0096
30.137,10.0031
30.157,9.9992
30.178,9.9969
30.196,9.9956
30.217,9.9956
30.236,9.9956
30.264,9.9949
30.294,9.9905
30.333,9.9846
30.381,9.9783
30.427,9.967
30.464,9.9514
30.492,9.9343
30.525,9.92
30.559,9.9102
30.593,9.9042
30.629,9.902
30.663,9.9009
30.694,9.8931
30.713,9.8821
30.729,9.8736
30.741,9.8682
30.755,9.8637
30.766,9.8585
30.784,9.8533
30.814,9.8492
30.852,9.8471
30.887,9.8462
30.917,9.8452
30.951,9.8393
30.98,9.8316
31.007,9.8244
31.028,9.8185
31.051,9.8123
31.08,9.8051
31.106,9.7987
31.13,9.7937
31.164,9.7904
31.201,9.787
31.23,9.7822
31.249,9.7751
31.266,9.7665
31.291,9.7594
31.321,9.7541
31.359,9.7497
31.408,9.7476
31.446,9.7464
31.465,9.7417
31.471,9.734
31.483,9.728
31.511,9.7251
31.552,9.7231
31.584,9.7196
31.606,9.7163
31.62,9.7148
31.631,9.713
31.649,9.7115
31.674,9.7098
31.703,9.7083
31.728,9.7052
31.74,9.7026
31.751,9.7009
31.774,9.6987
31.804,9.6961
31.838,9.693
31.87,9.6897
31.892,9.6877
31.922,9.6854
31.965,9.6832
32.013,9.681
32.046,9.6786
32.072,9.6759
32.09,9.672
32.107,9.6684
32.125,9.6651
32.15,9.6619
32.176,9.6578
32.199,9.654
32.22,9.6512
32.244,9.6466
32.275,9.64
32.312,9.6309
32.338,9.6202
32.359,9.6111
32.378,9.6043
32.398,9.5995
32.426,9.5953
32.45,9.59
32.465,9.5856
32.47,9.5819
32.49,9.5784
32.53,9.5769
32.568,9.5745
32.608,9.5714
32.646,9.5675
32.666,9.5586
32.67,9.5476
32.674,9.5403
32.678,9.5373
32.69,9.5362
32.712,9.5359
32.735,9.5342
32.759,9.53
32.782,9.5236
32.814,9.5152
32.848,9.5085
32.88,9.5022
32.899,9.4902
32.923,9.4788
32.96,9.4705
32.996,9.4625
33.022,9.4559
33.056,9.4522
33.097,9.4492
33.13,9.4458
33.156,9.4427
33.176,9.4403
33.195,9.4368
33.229,9.4336
33.266,9.4304
33.293,9.4259
33.313,9.4214
33.325,9.4165
33.343,9.4139
33.368,9.4125
33.403,9.4106
33.433,9.4087
33.456,9.4067
33.467,9.4033
33.485,9.3998
33.511,9.3976
33.549,9.3953
33.583,9.3918
33.604,9.3882
33.612,9.3844
33.618,9.3806
33.636,9.3786
33.678,9.3778
33.721,9.3758
33.764,9.3727
33.793,9.3647
33.81,9.349
33.832,9.3325
33.865,9.3224
33.894,9.3161
33.915,9.3112
33.934,9.3098
33.948,9.3096
33.966,9.3084
33.991,9.3065
34.022,9.3043
34.058,9.3022
34.088,9.2986
34.116,9.2916
34.146,9.2791
34.179,9.2662
34.216,9.2583
34.252,9.2535
34.288,9.2459
34.316,9.2351
34.335,9.2278
34.344,9.2243
34.353,9.223
34.373,9.2219
34.408,9.2211
34.451,9.2193
34.482,9.2176
34.504,9.2169
34.534,9.215
34.566,9.2137
34.593,9.2125
34.611,9.211
34.635,9.2101
34.676,9.2086
34.721,9.2065
34.771,9.201
34.822,9.1782
34.871,9.139
34.909,9.0978
34.934,9.0632
34.957,9.0383
34.988,9.0235
35.032,9.014
35.075,9.0069
35.116,9.0055
35.135,9.0016
35.146,8.9969
35.161,8.9937
35.182,8.9921
35.217,8.9904
35.259,8.9868
35.304,8.9836
35.342,8.9809
35.372,8.9751
35.4,8.964
35.426,8.9461
35.442,8.9237
35.462,8.9027
35.488,8.8864
35.526,8.8734
35.565,8.8607
35.592,8.8485
35.607,8.8324
35.621,8.8156
35.646,8.8048
35.673,8.7978
35.706,8.7909
35.743,8.7852
35.787,8.7812
35.82,8.777
35.852,8.7744
35.887,8.7706
35.928,8.7646
35.966,8.7557
35.992,8.7455
36.014,8.7318
36.035,8.7147
36.059,8.7009
36.085,8.6907
36.106,8.6845
36.127,8.6821
36.16,8.6813
36.198,8.68
36.243,8.6776
36.291,8.6734
36.326,8.6681
36.348,8.6619
36.364,8.6566
36.388,8.6532
36.423,8.6511
36.46,8.6499
36.491,8.6474
36.519,8.6427
36.536,8.6368
36.547,8.6318
36.563,8.6261
36.595,8.6212
36.636,8.6162
36.675,8.6069
36.713,8.5948
36.746,8.5806
36.779,8.5691
36.805,8.5586
36.826,8.548
36.846,8.539
36.87,8.5327
36.905,8.5265
36.941,8.5186
36.978,8.5085
37.013,8.4997
37.039,8.4893
37.052,8.4815
37.068,8.477
37.097,8.4749
37.141,8.4733
37.185,8.4716
37.219,8.471
37.249,8.4687
37.287,8.4662
37.326,8.4643
37.362,8.4631
37.395,8.4619
37.427,8.4599
37.454,8.4576
37.468,8.4555
37.485,8.4546
37.514,8.4536
37.55,8.4517
37.59,8.4473
37.634,8.4425
37.676,8.4321
37.711,8.4153
37.738,8.3978
37.75,8.3809
37.756,8.367
37.758,8.3573
37.767,8.3569
37.777,8.3558
37.775,8.3507
37.764,8.3475
37.754,8.35
37.752,8.3775
37.763,8.3919
37.77,8.4026
37.751,8.4079
37.745,8.4171
37.771,8.4414
37.768,8.4536
37.762,8.4795
37.781,8.4813
37.789,8.4759
37.783,8.4738
37.742,8.4759
37.743,8.483
37.779,8.4879
37.782,8.478
37.776,8.4727
37.765,8.4651
37.759,8.472
37.769,8.4856
37.801,8.4761
37.82,8.4698
37.819,8.4641
37.802,8.4558
37.811,8.452
37.879,8.4564
37.959,8.4547
38.025,8.4412
38.064,8.4167
